City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Alice Springs,AU,2021-10-25 17:57:59,-23.7,133.8833,74.75,38,13,5.75
179,Pinawa,CA,2021-10-25 17:54:41,50.1489,-95.8811,45.43,51,7,10.51
180,Ostrovnoy,RU,2021-10-25 17:59:28,68.0531,39.5131,20.41,90,16,7.49
181,Cruz Alta,BR,2021-10-25 17:59:28,-28.6386,-53.6064,76.98,44,0,6.15
182,Constitucion,CL,2021-10-25 17:59:29,-35.3333,-72.4167,66.47,56,72,20.89
183,Kavieng,PG,2021-10-25 17:59:29,-2.5744,150.7967,81.16,76,12,4.18
184,Daru,PG,2021-10-25 17:59:29,-9.0763,143.2092,79.39,87,100,11.01
185,Butajira,ET,2021-10-25 17:59:30,8.1167,38.3667,62.96,46,81,2.21
186,Escanaba,US,2021-10-25 17:59:30,45.7453,-87.0646,51.67,68,100,3.0
187,Pisco,PE,2021-10-25 17:59:30,-13.7,-76.2167,66.02,77,13,11.5
188,Lensk,RU,2021-10-25 17:59:30,60.7253,114.9278,33.51,88,100,9.37
189,Ipixuna,BR,2021-10-25 17:59:31,-1.7625,-48.8043,89.55,61,53,3.91
190,Mayya,RU,2021-10-25 17:59:31,61.7333,130.2811,29.52,99,100,3.18
191,Guerrero Negro,MX,2021-10-25 17:59:31,27.9769,-114.0611,70.05,65,27,13.47
192,Berlevag,NO,2021-10-25 17:59:32,70.8578,29.0864,26.55,80,20,9.22
193,Ancud,CL,2021-10-25 17:59:32,-41.8697,-73.8203,57.42,86,100,12.1
194,Cap-Aux-Meules,CA,2021-10-25 17:59:32,47.3821,-61.8597,50.05,62,20,10.36
195,Zapolyarnyy,RU,2021-10-25 17:59:33,69.4154,30.8136,22.28,93,100,3.29
196,Inverell,AU,2021-10-25 17:59:33,-29.7833,151.1167,49.15,75,0,1.99
197,Usinsk,RU,2021-10-25 17:57:44,65.9939,57.5281,9.1,97,83,7.38
198,Lamar,US,2021-10-25 17:59:33,33.6668,-95.5836,82.06,52,4,6.87
199,Svetlogorsk,BY,2021-10-25 17:59:34,52.6333,29.7333,35.26,69,15,7.4
200,Kodiak,US,2021-10-25 17:59:34,57.79,-152.4072,39.31,89,100,7.31
201,Norwich,GB,2021-10-25 17:59:34,52.6278,1.2983,53.47,92,20,5.75
202,Barrow,US,2021-10-25 17:59:35,71.2906,-156.7887,24.85,92,100,12.86
203,Aranos,NA,2021-10-25 17:59:35,-24.1333,19.1167,79.32,12,0,11.07
204,Tarpon Springs,US,2021-10-25 17:59:26,28.1461,-82.7568,86.99,82,75,3.0
205,Petropavlovsk-Kamchatskiy,RU,2021-10-25 17:59:35,53.0452,158.6483,28.99,74,75,6.71
206,Camiri,BO,2021-10-25 17:59:36,-20.05,-63.5167,85.78,20,10,0.0
